VendorID,passenger_count,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,extra,mta_tax,tolls_amount,improvement_surcharge,congestion_surcharge,airport_fee,tip_amount
1,1,0,0,53,146,0,1,0,1,1,0,4
1,1,0,0,33,202,2,1,0,1,1,0,3
1,5,0,0,126,216,0,1,0,1,1,0,4
1,1,0,0,69,204,0,1,0,1,1,0,4
1,1,0,0,24,38,0,1,0,1,1,0,2
0,1,0,0,92,40,6,1,0,1,1,0,1
1,1,0,0,80,89,2,1,0,1,1,0,2
0,1,0,0,122,204,6,1,0,1,1,0,5
1,1,0,0,84,129,0,1,0,1,0,0,2
1,1,0,0,70,205,0,1,0,1,1,0,5
0,1,0,0,58,38,7,1,0,1,1,0,5
1,1,0,0,118,66,0,1,0,1,1,0,3
1,1,0,0,41,160,1,1,0,1,1,0,8
1,1,0,0,71,33,0,1,0,1,1,0,4
1,1,0,0,21,198,0,1,0,1,1,0,2
1,1,0,0,72,227,0,1,0,1,1,0,1
1,1,0,0,81,159,0,1,0,1,1,0,1
0,1,0,0,80,56,8,1,0,1,1,0,4
1,5,0,0,80,204,2,1,0,1,1,0,4
1,1,0,0,118,140,0,1,0,1,1,0,3
1,1,0,0,128,216,2,1,0,1,1,0,5
1,1,0,0,24,126,0,1,0,1,1,0,8
0,1,0,0,86,66,8,1,0,1,1,0,5
1,1,0,0,33,94,1,1,0,1,1,0,4
0,1,0,1,24,121,7,1,0,1,1,0,3
1,3,0,0,57,199,0,1,0,1,1,0,4
1,1,0,0,55,146,0,1,0,1,1,0,4
1,1,0,0,133,137,0,1,0,1,1,0,1
0,1,0,0,92,137,6,1,0,1,1,0,8
1,1,0,0,33,213,0,1,0,1,1,0,10
1,2,0,0,113,118,0,1,0,1,1,0,4
1,1,0,0,80,202,1,1,0,1,1,0,3
1,1,0,0,35,84,1,1,5,1,1,0,14
1,2,0,0,70,120,0,1,0,1,1,0,2
0,0,0,0,121,119,6,1,0,1,1,0,2
0,1,0,0,117,1,8,1,0,1,1,0,5
0,1,0,0,123,66,7,1,0,1,1,0,12
0,2,0,0,123,129,6,1,0,1,1,0,4
0,0,0,0,120,139,6,1,0,1,1,0,2
0,1,0,0,70,137,7,1,0,1,1,0,5
1,1,0,0,24,207,0,1,0,1,1,0,1
1,1,0,0,123,129,0,1,0,1,1,0,4
1,2,0,0,58,84,1,1,0,1,1,0,1
1,1,0,0,68,197,2,1,0,1,1,0,2
1,1,0,0,38,62,0,1,0,1,0,0,1
1,5,0,0,82,2,1,1,0,1,1,0,3
1,1,0,0,71,38,0,1,0,1,1,0,3
1,1,0,0,103,8,1,1,0,1,1,0,6
1,1,0,0,80,146,0,1,0,1,1,0,5
0,2,0,0,46,198,8,1,0,1,1,0,5
1,1,0,0,41,126,1,1,0,1,1,0,3
1,1,0,0,70,120,0,1,0,1,1,0,3
0,2,0,0,114,229,8,1,0,1,1,0,5
1,1,1,0,64,142,0,1,5,1,0,1,5
1,1,0,0,121,137,1,1,0,1,1,0,4
1,1,0,0,92,66,0,1,0,1,1,0,4
1,1,0,0,53,202,0,1,0,1,1,0,4
1,1,0,0,133,204,0,1,0,1,1,0,3
0,1,0,0,114,159,6,1,0,1,1,0,2
1,1,0,0,81,230,0,1,0,1,1,0,2
1,1,0,0,121,137,0,1,0,1,1,0,3
0,1,0,0,48,213,6,1,0,1,1,0,3
1,1,0,0,69,94,0,1,0,1,1,0,12
0,1,0,0,121,204,6,1,0,1,1,0,7
1,1,0,0,71,207,0,1,0,1,1,0,2
0,1,0,1,69,204,7,1,0,1,1,0,3
0,1,0,0,81,84,6,1,0,1,1,0,4
1,1,0,0,86,140,0,1,0,1,1,0,1
1,1,0,0,120,204,0,1,0,1,1,0,2
1,2,0,0,67,159,0,1,5,1,1,1,7
1,1,0,0,48,56,0,1,0,1,1,0,3
0,1,1,0,1,198,6,1,5,1,1,0,14
1,1,0,0,70,199,0,1,0,1,1,0,9
1,1,0,0,58,198,0,1,0,1,1,0,8
1,1,0,0,123,228,0,1,0,1,1,0,4
1,2,0,0,26,205,0,1,0,1,1,0,4
1,1,0,0,121,38,1,1,0,1,1,0,4
0,1,0,0,83,75,8,1,0,1,1,0,2
1,1,0,0,81,146,0,1,0,1,1,0,1
1,1,1,0,64,207,0,1,5,1,1,1,8
1,1,0,0,41,222,1,1,0,1,1,0,6
0,1,0,0,70,121,8,1,0,1,1,0,4
0,3,0,1,58,56,7,1,0,1,1,0,4
1,1,0,0,69,204,2,1,0,1,1,0,2
1,1,0,0,75,89,1,1,0,1,1,0,4
1,1,0,0,55,38,0,1,0,1,1,0,8
1,1,0,0,19,129,0,1,0,1,0,0,1
0,1,0,0,133,33,6,1,0,1,1,0,1
0,1,0,0,82,139,6,1,0,1,1,0,2
1,1,0,0,75,201,1,1,0,1,1,0,1
1,2,0,0,75,229,1,1,0,1,1,0,6
1,1,0,0,33,121,1,1,0,1,1,0,5
0,1,0,1,70,159,6,1,0,1,1,0,6
0,1,0,0,64,116,5,1,0,1,0,1,8
1,1,0,0,120,119,0,1,0,1,1,0,3
1,1,0,0,122,94,0,1,0,1,1,0,8
1,1,0,0,39,62,1,1,0,1,0,0,1
1,1,0,0,120,207,2,1,0,1,1,0,4
1,3,0,0,120,119,1,1,0,1,1,0,3
0,3,0,0,41,94,7,1,0,1,1,0,3
1,1,0,0,76,35,2,1,0,1,1,0,3
0,1,0,0,70,84,6,1,0,1,1,0,1
0,1,0,1,126,213,7,1,0,1,1,0,1
1,1,0,0,108,2,0,1,0,1,0,0,4
1,1,0,0,134,159,0,1,0,1,1,0,6
0,2,0,0,122,201,7,1,0,1,1,0,5
1,1,0,0,135,52,1,1,0,1,0,0,14
0,3,0,0,67,142,3,1,5,1,0,1,10
0,1,0,0,135,230,2,1,0,1,0,0,3
0,1,0,0,69,139,7,1,0,1,1,0,2
0,1,0,0,66,66,8,1,0,1,1,0,1
1,1,0,0,33,205,2,1,0,1,1,0,3
1,1,0,0,53,207,1,1,0,1,1,0,4
1,1,0,0,120,139,0,1,0,1,1,0,3
1,1,0,0,134,228,0,1,0,1,1,0,1
1,1,0,0,60,8,1,1,0,1,1,0,2
1,6,0,0,120,205,0,1,0,1,1,0,4
1,1,0,0,123,120,0,1,0,1,1,0,4
1,1,0,0,117,227,0,1,0,1,1,0,3
0,1,0,0,68,204,6,1,0,1,1,0,4
0,1,0,0,92,89,6,1,0,1,1,0,4
1,6,0,0,41,146,1,1,0,1,1,0,3
1,1,0,0,115,213,0,1,0,1,1,0,7
0,1,1,0,64,118,16,1,0,1,1,1,8
1,2,1,0,64,198,0,1,5,1,1,1,5
0,1,0,0,123,120,6,1,0,1,1,0,3
0,1,0,0,53,198,6,1,0,1,1,0,1
1,5,0,0,86,197,1,1,0,1,1,0,1
1,5,0,0,53,120,1,1,0,1,1,0,4
1,1,0,0,92,137,2,1,0,1,1,0,4
1,4,0,0,122,120,0,1,0,1,1,0,2
0,1,0,0,86,134,6,1,0,1,1,0,5
0,1,0,0,68,216,7,1,0,1,1,0,12
0,1,0,0,53,105,7,1,0,1,1,0,11
0,1,0,0,86,138,6,1,0,1,1,0,2
0,1,0,0,121,122,6,1,0,1,1,0,9
0,2,0,0,76,207,6,1,0,1,1,0,3
1,3,0,0,41,197,0,1,0,1,1,0,4
0,1,0,0,122,204,6,1,0,1,1,0,8
1,1,0,0,53,119,0,1,0,1,1,0,4
1,1,0,0,76,216,0,1,0,1,1,0,9
1,6,0,0,121,38,0,1,0,1,1,0,1
1,2,0,0,82,138,0,1,0,1,1,0,3
1,2,0,0,24,198,1,1,0,1,1,0,3
1,1,0,0,21,120,0,1,0,1,1,0,1
1,1,0,0,123,40,0,1,0,1,1,0,3
0,0,0,0,80,205,6,1,0,1,1,0,5
1,1,0,0,68,153,1,1,0,1,1,0,11
1,1,0,0,80,205,0,1,0,1,1,0,5
0,1,0,0,58,1,6,1,0,1,1,0,3
0,1,0,0,92,213,7,1,0,1,1,0,3
1,1,0,0,82,137,0,1,0,1,1,0,2
1,1,0,0,68,205,0,1,0,1,1,0,2
1,1,0,0,82,202,2,1,0,1,1,0,2
1,1,0,0,134,118,2,1,0,1,1,0,0
1,1,0,0,35,95,2,1,5,1,0,1,10
1,2,0,0,114,56,1,1,0,1,1,0,2
1,1,0,0,57,199,0,1,0,1,1,0,4
1,1,0,0,92,206,2,1,0,1,1,0,7
1,1,0,0,120,119,0,1,0,1,1,0,3
1,1,0,0,69,205,0,1,0,1,1,0,3
0,1,0,0,122,204,8,1,0,1,1,0,4
0,1,0,0,92,89,7,1,0,1,1,0,3
1,1,0,0,126,139,0,1,0,1,1,0,4
1,1,0,0,81,200,0,1,0,1,1,0,5
1,1,0,0,45,230,1,1,0,1,1,0,3
0,1,0,0,86,202,8,1,0,1,1,0,3
0,1,0,0,83,198,6,1,0,1,1,0,3
1,1,0,0,120,62,0,1,0,1,1,0,1
0,0,0,0,120,137,6,1,0,1,1,0,5
0,1,0,0,41,229,6,1,0,1,1,0,3
1,1,0,0,92,66,0,1,0,1,1,0,4
1,1,0,0,120,204,0,1,0,1,1,0,2
1,4,0,0,116,139,0,1,0,1,1,0,3
0,1,0,0,122,202,6,1,0,1,1,0,3
0,1,0,1,68,228,8,0,0,1,1,0,1
1,1,0,0,133,139,2,1,0,1,1,0,3
1,1,0,0,53,103,0,1,0,1,1,0,7
1,1,0,0,84,205,0,1,0,1,1,0,7
0,1,0,0,115,93,8,1,0,1,1,0,3
1,1,0,0,41,202,2,1,0,1,1,0,4
1,1,0,0,33,142,2,1,0,1,1,0,8
0,1,0,0,83,197,8,1,0,1,1,0,4
1,1,0,0,128,103,2,1,0,1,1,0,3
1,6,1,0,5,207,12,1,5,1,1,0,18
1,6,0,0,115,137,0,1,0,1,1,0,9
1,1,0,0,71,56,0,1,0,1,1,0,6
1,2,0,0,132,199,0,1,0,1,1,0,3
1,1,0,0,117,192,2,1,0,1,1,0,3
0,2,0,1,92,89,7,1,0,1,1,0,5
1,6,0,0,120,207,1,1,0,1,1,0,2
0,1,0,0,120,118,6,1,0,1,1,0,3
1,1,0,0,121,205,2,1,0,1,1,0,3
1,1,0,0,82,207,0,1,0,1,1,0,4
1,1,0,0,113,204,0,1,0,1,1,0,3
1,1,0,0,55,197,0,1,0,1,1,0,5
1,1,0,0,39,118,2,1,0,1,1,0,3
0,1,0,0,122,204,8,1,0,1,1,0,2
0,1,0,0,71,216,8,1,0,1,1,0,6
1,1,0,0,68,138,2,1,0,1,1,0,3
1,1,1,0,64,204,0,1,5,1,0,1,8
0,3,0,0,128,89,7,1,0,1,1,0,3
1,1,0,0,120,205,0,1,0,1,1,0,1
1,2,0,0,118,206,0,1,0,1,1,0,6
1,1,0,0,76,118,0,1,0,1,1,0,7
1,1,0,0,121,129,0,1,0,1,1,0,4
1,1,0,0,24,89,1,1,0,1,1,0,5
0,1,0,0,81,56,6,1,0,1,1,0,5
1,1,0,0,120,205,1,1,0,1,1,0,2
1,2,0,0,24,199,0,1,0,1,1,0,5
0,1,0,0,67,205,9,1,5,1,1,1,14
1,1,0,0,120,119,0,1,0,1,1,0,1
1,1,0,0,134,204,2,1,0,1,1,0,3
